collectionDate,specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,collectionInstitution,CtepStudyID,SpecimenCount
2012-10-02,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,BI-LO Charities Children's Cancer Center,AALL0932,2
2011-09-15,Buffy Coat,Cryopreserved,Blood,Non-Malignant,Pre-Therapy,Riley Hospital for Children,AALL08B1,1
2014-07-18,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital Colorado,AALL08B1,1
2013-02-11,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Hospital for Sick Children,AALL08B1,1
2012-07-03,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Riley Hospital for Children,AALL08B1,2
2014-04-15,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,Pre-Therapy,Lucile Packard Children's Hospital Stanford University,AALL08B1,20
2009-05-27,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Loma Linda University Medical Center,AALL0331,1
2012-05-01,Urine,Frozen,Fluid,Not Specified,Pre-Therapy,Children's Hospital and Research Center at Oakland,AREN03B2,5
2013-09-04,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,The Steven and Alexandra Cohen Children's Medical Center of New York,AALL0932,2
2013-08-08,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Children's Hospital of Philadelphia,AALL08B1,2
2008-02-13,DNA,Frozen,Bone Marrow,Not Specified,On Therapy,Washington University School of Medicine,AALL0331,1
2006-05-22,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Alfred I duPont Hospital for Children,AALL0331,1
2015-02-10,Whole Bone Marrow,Cryopreserved,Bone Marrow,Not Specified,Pre-Therapy,University of Rochester,AEWS1031,2
2011-04-07,Whole Bone Marrow,Cryopreserved,Bone Marrow,Non-Malignant,On Therapy,Children's Hospital New Orleans,AALL0434,2
2012-05-14,DNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,All Children's Hospital,AALL0932,2
2006-04-05,RNA,Frozen,Bone Marrow,Not Specified,Pre-Therapy,Nationwide Children's Hospital,AALL0232,1
2000-09-28,Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,Mayo Clinic,P9754,34
